commune,name,dep,zone,n_sales,sales_per_year,price_m2,price_m2_direct,price_sd_log,shrink,rent_m2,rent_lo,rent_hi,rent_level,vacancy_months,long_vacancy,qpv_share,dpe_count,share_E,share_F,share_G,lon,lat,irr_p05,irr_p25,irr_median,irr_p75,irr_p95,irr_mean,prob_loss,prob_below_hurdle,npv_mean,npv_es05,effort_month,equity0,price,gross_yield,net_yield,irr_base,regime,rank_p05,rank_median,rank_p95,irr_base_sd,rank
91215,Épinay-sous-Sénart,91,grande_couronne,168,56,2299.21,2294.33,0.017334,0.00474152,20.9744,18.2476,24.1086,commune,1.13283,0.0115315,0.452381,2521,0.138254,0.0302126,0.00724349,2.52234,48.6972,0.0246636,0.0609948,0.0824325,0.104022,0.132053,0.0814721,0.013,0.105,19800.3,-9088.25,56.2289,21206.5,85070.9,0.10164,0.0600653,0.0816382,lmnp,1,1,1,0.00141378,1
91286,Grigny,91,grande_couronne,195,65,1860.82,1857.11,0.0160945,0.00408768,18.7664,15.6141,22.5552,commune,1.95229,0.031031,0.810256,6260,0.143988,0.0281514,0.0108868,2.39237,48.6552,-0.000344803,0.0466861,0.0757525,0.0992908,0.132059,0.0712,0.0505,0.2055,13074.7,-13986.7,82.4291,13184.6,68850.4,0.111347,0.0647514,0.0750231,reel,2,2,5,0.00150476,2
93078,Villepinte,93,petite_couronne,402,134,2986.6,2984.58,0.0128492,0.00260527,22.9163,18.9336,27.7368,commune,1.22303,0.0139639,0.420398,5688,0.0459953,0.016343,0.00852802,2.54131,48.9581,0.000726862,0.0488364,0.0748813,0.100175,0.132075,0.0721006,0.0475,0.183,22668.4,-22157.4,100.887,26010.3,110504,0.0860496,0.0521559,0.0724939,lmnp,2,3,6,0.00109364,3
92078,Villeneuve-la-Garenne,92,petite_couronne,253,84.3333,3695.06,3689.3,0.0147213,0.00341969,26.9261,21.0629,34.4215,commune,1.49246,0.0199138,0.26087,6579,0.0757528,0.0103186,0.00473109,2.32958,48.9358,0.00214928,0.0469792,0.0746651,0.101437,0.136641,0.0708605,0.0465,0.196,27648.2,-27536.1,142.36,30941.5,136717,0.0825733,0.0514772,0.0732822,lmnp,2,4,6,0.00121883,4
78029,Aubergenville,78,grande_couronne,175,58.3333,2297.98,2293.03,0.0178648,0.00503633,20.3509,16.4433,25.1872,commune,1.22332,0.0139641,0,2479,0.391834,0.0365109,0.0134486,1.85621,48.9611,0.00725971,0.0490128,0.0735285,0.0967166,0.129761,0.0718229,0.034,0.1875,16142,-17295.8,75.5673,21329.9,85025.4,0.0984391,0.0569902,0.0722613,lmnp,3,5,8,0.00121652,5
91228,Évry-Courcouronnes,91,grande_couronne,1234,411.333,2581.87,2581.33,0.00640887,0.000648178,20.9062,16.3654,26.7069,commune,1.18329,0.0130056,0.243922,15406,0.0950172,0.011601,0.00385321,2.43298,48.6292,0.00648572,0.0465995,0.072853,0.0978413,0.129029,0.0710322,0.042,0.195,17482.2,-20155,94.117,23126,95529.2,0.0901961,0.0529931,0.0720744,lmnp,5,6,8,0.000482308,6
91692,Les Ulis,91,grande_couronne,437,145.667,2641.68,2640.2,0.0107633,0.00182816,20.9591,18.229,24.0982,commune,1.09194,0.0102518,0.0297483,7231,0.0729494,0.00799784,0.0010299,2.17219,48.6838,0.0141251,0.0508768,0.0727643,0.0928534,0.124232,0.0710515,0.021,0.1675,17968,-14026.8,86.0724,23487.5,97742.2,0.0883943,0.0524125,0.0719202,lmnp,4,7,9,0.00083779,7
91521,Ris-Orangis,91,grande_couronne,536,178.667,2456.68,2455.43,0.00972019,0.001491,20.449,17.824,23.4606,commune,1.30626,0.0159433,0.371269,5945,0.15727,0.0309744,0.0101219,2.40995,48.6513,0.0127063,0.0477791,0.0715709,0.0919476,0.12232,0.0694668,0.027,0.1885,16220.2,-15550.2,86.4246,22332.4,90897.3,0.092559,0.0532906,0.0702122,lmnp,6,8,9.05,0.000789874,8
93071,Sevran,93,petite_couronne,385,128.333,2700.18,2698.43,0.013129,0.00272,21.1696,17.4171,25.7306,commune,1.48463,0.0197111,0.381818,9067,0.0629879,0.0192865,0.0122857,2.53251,48.9386,-0.00520684,0.040189,0.0693461,0.0942571,0.129094,0.0654634,0.0645,0.25,17724.6,-22811.6,114.92,24049,99906.6,0.0874147,0.0502307,0.0667308,lmnp,9,10,13,0.00105217,9
39441,Prémanon,39,province,93,31,2919.84,2902.37,0.0320649,0.0162221,23.6805,17.614,31.8363,maille,1.85325,0.0281967,0,269,0.391235,0.059553,0.0164955,6.03102,46.4618,-0.0122254,0.040343,0.0691426,0.0979549,0.13687,0.0666464,0.0735,0.2475,18538.1,-30401.9,136.296,25665.6,108034,0.0911579,0.0528558,0.0669366,lmnp,6,10,20,0.00253491,10
